zone,polygon,region,year,month,day,trim,site,catch,destine,depth,divers_hours,effort,cpue,divers_num,depth2,latitude,longitude,utm_x,utm_y
1,2,10,2000,5,23,2,9022,132,2,43,100,2,66,2,"[40,Inf)",-41.78138833,-73.875,593488.7238,5373883.95
1,2,10,2000,1,19,1,9122,75,2,15,300,6,12.5,2,"[10,20)",-41.73140167,-73.80661944,599248.3071,5379357.201
1,2,10,2000,6,15,2,9022,150,2,10,300,6,25,2,"[10,20)",-41.78138833,-73.875,593488.7238,5373883.95
1,2,10,2000,2,22,1,9105,41,2,35,35,0.583333333,70.29,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,24,1,9105,63,2,30,30,0.5,126,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,28,1,9105,66,2,30,30,0.5,132,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,1,1,9105,85,2,27,45,1.5,56.67,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,19,1,9105,60,1,17,100,1,60,1,"[10,20)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,20,1,9105,30,1,22,30,0.5,60,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,21,1,9105,201,1,12,35,1.166666667,172.29,2,"[10,20)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,24,1,9105,40,2,20,40,1.333333333,30,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,24,1,9105,131,1,24,50,1.666666667,78.6,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,25,1,9105,70,1,38,15,0.5,140,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,26,1,9105,100,2,22,40,1.333333333,75,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,26,1,9105,145,1,19,100,2,72.5,2,"[10,20)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,27,1,9105,70,1,28,30,0.5,140,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,28,1,9105,105,1,32,100,1,105,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,1,31,1,9105,241,1,28,100,2,120.5,2,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,4,1,9105,63,2,33,35,1.166666667,54,2,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,10,1,9105,79,2,39,35,0.583333333,135.43,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,11,1,9105,45,2,30,30,0.5,90,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,15,1,9105,34,2,40,35,0.583333333,58.29,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,2,17,1,9105,41,2,35,30,0.5,82,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,1,1,9105,71,2,42,30,0.5,142,1,"[40,Inf)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,6,1,9105,49,2,27,35,0.583333333,84,1,"[20,30)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,8,1,9105,49,2,39,30,0.5,98,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
1,2,10,2000,3,10,1,9105,98,2,37,45,0.75,130.67,1,"[30,40)",-41.78841833,-73.68528889,609242.2801,5372879.745
